framenr,riders,numbers,boxes
181,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43', '43']","[(1313, 659, 1424, 765), (1472, 659, 1572, 769), (635, 503, 677, 547), (677, 506, 716, 548), (1099, 550, 1161, 614), (1157, 549, 1214, 611), (995, 537, 1040, 589), (951, 532, 1001, 586)]"
182,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43', '43']","[(1309, 666, 1423, 770), (1469, 669, 1564, 767), (630, 505, 674, 550), (675, 508, 713, 551), (1097, 551, 1154, 615), (1149, 550, 1211, 611), (987, 537, 1033, 593), (944, 532, 993, 590)]"
183,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43', '43']","[(1307, 672, 1423, 780), (1454, 669, 1552, 764), (624, 510, 668, 556), (666, 511, 707, 554), (1095, 558, 1152, 621), (1143, 559, 1198, 619), (982, 541, 1029, 597), (940, 538, 988, 596)]"
184,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43', '43']","[(1299, 675, 1418, 785), (1454, 669, 1552, 764), (618, 511, 665, 558), (663, 515, 703, 558), (1092, 560, 1146, 625), (1143, 559, 1198, 619), (977, 545, 1024, 601), (932, 545, 982, 602)]"
185,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43', '43']","[(1286, 679, 1403, 784), (1427, 670, 1528, 763), (615, 517, 658, 561), (650, 518, 683, 559), (1090, 561, 1147, 623), (1143, 559, 1198, 619), (973, 546, 1018, 602), (931, 547, 979, 603)]"
186,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '43', '43']","[(1272, 683, 1394, 791), (1411, 670, 1514, 762), (612, 519, 655, 564), (653, 522, 692, 563), (1087, 563, 1146, 625), (971, 547, 1014, 602), (926, 548, 975, 604)]"
187,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '43', '43']","[(1259, 686, 1380, 791), (1398, 669, 1500, 762), (606, 522, 649, 567), (651, 523, 688, 565), (1086, 568, 1152, 628), (961, 551, 1004, 605), (920, 551, 967, 605)]"
188,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '43', '43']","[(1247, 684, 1365, 795), (1383, 670, 1486, 764), (602, 525, 645, 572), (644, 524, 685, 568), (1083, 574, 1150, 634), (958, 553, 1003, 604), (919, 554, 964, 606)]"
189,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '43', '43']","[(1233, 683, 1348, 792), (1379, 670, 1479, 766), (597, 529, 641, 576), (641, 529, 683, 572), (1078, 575, 1145, 635), (956, 554, 1000, 606), (915, 555, 959, 608)]"
190,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '43', '43']","[(1224, 680, 1331, 790), (1369, 674, 1468, 768), (592, 533, 637, 580), (638, 532, 679, 577), (1074, 581, 1145, 643), (953, 555, 998, 609), (911, 554, 961, 611)]"
191,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '43', '43']","[(1212, 683, 1320, 787), (1358, 677, 1454, 772), (588, 534, 632, 581), (627, 535, 659, 578), (1070, 582, 1138, 644), (951, 560, 995, 614), (910, 557, 957, 614)]"
192,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '43', '43']","[(1198, 683, 1305, 787), (1346, 680, 1447, 781), (585, 537, 629, 584), (631, 538, 672, 582), (1070, 585, 1133, 646), (949, 564, 995, 615), (908, 560, 955, 616)]"
193,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '43', '43']","[(1192, 686, 1294, 789), (1343, 688, 1439, 791), (583, 540, 626, 587), (627, 541, 668, 582), (1070, 585, 1133, 646), (948, 565, 993, 619), (907, 563, 954, 619)]"
194,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '43', '43']","[(1187, 686, 1282, 789), (1338, 693, 1431, 793), (583, 542, 625, 589), (627, 542, 666, 583), (1070, 585, 1133, 646), (947, 568, 992, 622), (906, 566, 954, 622)]"
